nice to see you here 🦜🦾,"This data is maintained @sureailabs, @proximasan, @EErratica, and @KyrickYoung as part our ongoing Image Synthesis Style Studies project, started in Feb 2022. Its purpose is to document artist names and other prompt modifier keywords (see tabs) that are recognized by AI text-to-image synthesis models, such as the CLIP models used in Disco Diffusion and Stable Diffusion. We are not afilliated with the development or training of these models.
Alvarado,Lilia,Yes,x,Yes,x,"photography, scene, portrait",N/A,sureailabs,x,x,10,
Alzamora,Emil,Yes,x,No,x,sculpture,N/A,sureailabs,x,x,8,
Amano,Yoshitaka,Yes,x,Yes,x,"messy, dark,",N/A,EErratica,x,x,1,
Amer,Ghada,Yes,x,Yes,x,"abstract, portrait",N/A,sureailabs,x,x,13,
Amiet,Cuno,Yes,x,Yes,x,"impressionism, portrait, landscape",N/A,sureailabs,x,x,10,
Amor,Rick,Yes,x,No,x,"landscape, streetscape",N/A,sureailabs,x,x,13,
Amorsolo,Fernando,Yes,x,Yes,x,"realism, scene",1972,sureailabs,x,x,12,
Anacleto,Jay,Yes,x,Yes,x,"comics, detailed",N/A,sureailabs,x,x,13,
Anatsui,El,Yes,x,Yes,x,"abstract, sculpture, texture, melanin",N/A,sureailabs,x,x,12,
Ancher,Anna,Yes,x,Yes,x,"impressionism, scene",1935,sureailabs,x,x,12,
Ancher,Michael,Yes,x,Yes,x,"impressionism, realism, scene",1927,sureailabs,x,x,12,
Andersen,Hans Christian,Yes,x,Yes,x,"romanticism, art nouveau",1875,sureailabs,x,x,12,
Andersen,Sarah,Yes,x,Yes,x,"cartoon, comics, high contrast",N/A,sureailabs,x,x,12,
Anderson,Richard,Yes,x,Yes,x,"digital, fantasy, dark, messy",N/A,sureailabs,x,x,12,
Anderson,Sophie,Yes,x,Yes,x,"character, portrait",N/A,sureailabs,x,x,7,
Anderson,Wes,Yes,x,Yes,x,"vibrant, whimsical, photography",N/A,EErratica,x,x,1,
Ando,Tadao,Yes,x,Yes,x,"angular, architecture",N/A,EErratica,x,x,9,
Andreev,Alex,Yes,x,Yes,x,"landscape, high contrast, vibrant",N/A,sureailabs,x,x,9,
Andrews,Esao,Yes,x,Yes,x,"surrealism, dark,",N/A,sureailabs,x,x,1,
Angelico,Fra,Yes,x,Yes,x,"renaissance, scene",1455,sureailabs,x,x,12,
Angrand,Charles,Yes,x,Yes,x,"impressionism, clean",1926,sureailabs,x,x,3,
Anguissola,Sofonisba,Yes,x,Yes,x,"renaissance, portrait",1625,sureailabs,x,x,7,
